 energia, pressao,+ACM-rho, muB
7363.9792993267,2363.9448426376,4.5,2161.7609204365
7342.3699560749,2356.5120781141,4.49,2160.1073572804
7320.777159818,2349.085649146,4.48,2158.451519858
7299.200933312,2341.6655635331,4.47,2156.7933997416
7277.6412994868,2334.251829134,4.46,2155.13298848
7256.098281244,2326.8444537994,4.45,2153.4702775379
7234.5719016743,2319.4434454439,4.44,2151.80525836
7213.062183846,2312.0488119761,4.43,2150.1379223075
7191.5691510125,2304.6605613668,4.42,2148.4682607193
7170.0928264445,2297.2787015942,4.41,2146.7962648614
7148.633233557,2289.9032406855,4.4,2145.1219259642
7127.1903958169,2282.5341866864,4.39,2143.4452351944
7105.7643367405,2275.1715476605,4.38,2141.7661836532
7084.3550800838,2267.8153317515,4.37,2140.0847624337
7062.9626494709,2260.4655470618,4.36,2138.4009625075
7041.5870688158,2253.1222017902,4.35,2136.714774852
7020.2283620331,2245.7853041376,4.34,2135.0261903619
6998.886553098,2238.4548623264,4.33,2133.3351998671
6977.5616661328,2231.1308846289,4.32,2131.6417941578
6956.2537253358,2223.8133793441,4.31,2129.9459639629
6934.9627549931,2216.5023548014,4.3,2128.2476999522
6913.6887795059,2209.1978193697,4.29,2126.5469927449
6892.4318233447,2201.8997814426,4.28,2124.8438328942
6871.1919110998,2194.6082494545,4.27,2123.1382109026
6849.9690674405,2187.3232318675,4.26,2121.4301172085
6828.7633170822,2180.0447371607,4.25,2119.7195421748
6807.5746849428,2172.7727738815,4.24,2118.0064761378
6786.4031959503,2165.5073505821,4.23,2116.2909093457
6765.248875155,2158.2484758568,4.22,2114.5728319933
6744.1117477502,2150.9961583489,4.21,2112.8522342278
6722.9918389479,2143.7504067092,4.2,2111.1291061088
6701.8891741287,2136.511229646,4.19,2109.4034376551
6680.8037787463,2129.2786358933,4.18,2107.6752188133
6659.7356783509,2122.0526342187,4.17,2105.9444394651
6638.684898585,2114.8332334221,4.16,2104.2110894248
6617.6514652074,2107.6204423431,4.15,2102.4751584459
6596.6354040738,2100.4142698553,4.14,2100.7366362148
6575.6367411901,2093.2147248835,4.13,2098.9955123665
6554.6555025831,2086.0218163613,4.12,2097.2517764428
6533.6917144622,2078.835553284,4.11,2095.5054179431
6512.7454030739,2071.6559446611,4.1,2093.7564262768
6491.8165948,2064.4829995488,4.09,2092.0047907943
6470.9053161406,2057.3167270437,4.08,2090.2505007805
6450.0115937165,2050.1571362841,4.07,2088.4935454547
6429.135454211,2043.0042364312,4.06,2086.7339139513
6408.2769244308,2035.8580366883,4.05,2084.9715953381
6387.4360313201,2028.7185463062,4.04,2083.2065786204
6366.6128019319,2021.5857745731,4.03,2081.4388527308
6345.8072634051,2014.4597308079,4.02,2079.6684065206
6325.0194429587,2007.3404243576,4.01,2077.8952287572
6304.2493680149,2000.2278646383,4,2076.1193081633
6283.4970660455,1993.1220610841,3.99,2074.3406333658
6262.762564622,1986.0230231644,3.98,2072.5591929112
6242.0458914958,1978.9307604095,3.97,2070.774975291
6221.3470744598,1971.8452823656,3.96,2068.9879688953
6200.6661415126,1964.7665986488,3.95,2067.1981620662
6180.0031206572,1957.6947188787,3.94,2065.4055430294
6159.3580401126,1950.6296527478,3.93,2063.6100999645
6138.7309281565,1943.5714099706,3.92,2061.8118209508
6118.1218132183,1936.5200003133,3.91,2060.0106939979
6097.5307238671,1929.4754335903,3.9,2058.2067070404
6076.9576887222,1922.437719635,3.89,2056.3998479067
6056.4027365682,1915.4068683371,3.88,2054.590104357
6035.8658963478,1908.3828896406,3.87,2052.7774640797
6015.3471970403,1901.365793504,3.86,2050.9619146488
5994.8466678461,1894.3555899607,3.85,2049.1434435862
5974.3643380137,1887.3522890622,3.84,2047.322038301
5953.9002369659,1880.3559009198,3.83,2045.497686132
5933.4543942033,1873.3664356725,3.82,2043.670374313
5913.0268394246,1866.383903527,3.81,2041.8400900135
5892.6176024129,1859.4083147202,3.8,2040.0068202982
5872.2267130691,1852.4396795299,3.79,2038.1705521369
5851.8542014669,1845.4780082934,3.78,2036.3312724234
5831.5000977603,1838.5233113769,3.77,2034.4889679409
5811.1644322971,1831.5755992125,3.76,2032.6436254015
5790.8472354897,1824.6348822565,3.75,2030.795231399
5770.5485379282,1817.7011710256,3.74,2028.9437724475
5750.268370374,1810.7744760958,3.73,2027.0892349785
5730.0067636154,1803.8548080544,3.72,2025.2316052876
5709.7637486734,1796.9421775676,3.71,2023.3708696068
5689.5393566684,1790.0365953372,3.7,2021.5070140556
5669.3336189073,1783.1380721288,3.69,2019.640024671
5649.1465667559,1776.2466187299,3.68,2017.7698873603
5628.9782317594,1769.3622459899,3.67,2015.8965879426
5608.8286456234,1762.4849648134,3.66,2014.0201121412
5588.6978402158,1755.6147861613,3.65,2012.1404455828
5568.5858474714,1748.7517210192,3.64,2010.2575737612
5548.4926995312,1741.895780443,3.63,2008.3714820865
5528.4184286784,1735.0469755384,3.62,2006.482155861
5508.3630673147,1728.2053174529,3.61,2004.589580268
5488.3266480186,1721.3708173949,3.6,2002.6937403926
5468.309203506,1714.5434866208,3.59,2000.7946212052
5448.3107666416,1707.7233364388,3.58,1998.8922075643
5428.3313704554,1700.9103782144,3.57,1996.9864842212
5408.371048105,1694.104623358,3.56,1995.0774358042
5388.4298329398,1687.3060833459,3.55,1993.1650468411
5368.5077584182,1680.5147696936,3.54,1991.2493017265
5348.6048581952,1673.7306939838,3.53,1989.3301847533
5328.7211660719,1666.9538678506,3.52,1987.4076800916
5308.8567160159,1660.1843029856,3.51,1985.4817717953
5289.011542114,1653.422011123,3.5,1983.552443782
5269.1856786705,1646.6670040715,3.49,1981.6196798688
5249.379160093,1639.9192936769,3.48,1979.683463727
5229.5920210238,1633.1788918653,3.47,1977.7437789306
5209.8242962025,1626.4458105982,3.46,1975.8006089019
5190.0760205884,1619.7200619123,3.45,1973.8539369567
5170.3472292753,1613.0016578919,3.44,1971.9037462695
5150.6379575234,1606.2906106794,3.43,1969.9500198842
5130.9482407858,1599.5869324838,3.42,1967.9927407221
5111.2781146839,1592.8906355729,3.41,1966.0318915709
5091.6276149707,1586.201732261,3.4,1964.0674550682
5071.9967776638,1579.5202349531,3.39,1962.0994137513
5052.3856388642,1572.8461560847,3.38,1960.1277499849
5032.7942348736,1566.179508161,3.37,1958.1524460043
5013.2226022063,1559.5203037606,3.36,1956.1734839187
4993.6707775274,1552.8685555151,3.35,1954.1908456843
4974.1387976874,1546.2242761207,3.34,1952.2045131162
4954.6266997116,1539.5874783348,3.33,1950.2144678818
4935.1345208485,1532.9581749915,3.32,1948.2206915181
4915.6622984642,1526.3363789676,3.31,1946.2231653872
4896.2100701802,1519.7221032274,3.3,1944.2218707296
4876.7778737629,1513.1153607866,3.29,1942.2167886169
4857.3657471759,1506.5161647295,3.28,1940.2078999712
4837.9737285899,1499.9245282123,3.27,1938.1951855664
4818.6018563588,1493.3404644554,3.26,1936.1786260166
4799.2501690244,1486.7639867447,3.25,1934.1582017751
4779.9187053517,1480.1951084435,3.24,1932.1338931467
4760.6075042525,1473.6338429674,3.23,1930.1056802538
4741.316604912,1467.0802038256,3.22,1928.0735430862
4722.0460466377,1460.5342045719,3.21,1926.037461436
4702.7958689783,1453.9958588433,3.2,1923.9974149443
4683.5661117198,1447.4651803589,3.19,1921.9533830968
4664.356814765,1440.9421828805,3.18,1919.9053451715
4645.1680183174,1434.4268802729,3.17,1917.8532803124
4625.9997627404,1427.9192864575,3.16,1915.7971674677
4606.8520886136,1421.4194154315,3.15,1913.7369854111
4587.7250367536,1414.9272812738,3.14,1911.6727127476
4568.6186481569,1408.4428981274,3.13,1909.6043278864
4549.5329640661,1401.96628022,3.12,1907.5318090661
4530.4680259185,1395.4974418484,3.11,1905.4551343302
4511.4238753967,1389.036397394,3.1,1903.3742815454
4492.4005543806,1382.5831613079,3.09,1901.2892283782
4473.3981049936,1376.1377481257,3.08,1899.1999523115
4454.4165695898,1369.7001724637,3.07,1897.1064306363
4435.4559906982,1363.2704490002,3.06,1895.0086404243
4416.5164111764,1356.8485925261,3.05,1892.906558591
4397.5978740132,1350.4346178806,3.04,1890.8001618072
4378.7004224949,1344.0285400053,3.03,1888.6894265677
4359.8241001173,1337.6303739155,3.02,1886.5743291499
4340.968950633,1331.2401347159,3.01,1884.4548456309
4322.1350180002,1324.857837584,3,1882.3309518614
4303.3223464691,1318.4834977979,2.99,1880.2026235007
4284.5309804966,1312.117130709,2.98,1878.0698359751
4265.7609647993,1305.7587517592,2.97,1875.9325644978
4247.0123443437,1299.4083764777,2.96,1873.7907840613
4228.2851643364,1293.0660204779,2.95,1871.6444694286
4209.5794702493,1286.7316994655,2.94,1869.4935951411
4190.8953078153,1280.4054292378,2.93,1867.338135513
4172.2327230144,1274.0872256782,2.92,1865.1780646208
4153.5917620877,1267.7771047619,2.91,1863.0133563057
4134.9724715468,1261.4750825582,2.9,1860.8439841741
4116.3748981483,1255.1811752227,2.89,1858.6699215817
4097.7990889394,1248.8953990121,2.88,1856.4911416498
4079.2450912366,1242.6177702773,2.87,1854.3076172522
4060.7129526181,1236.3483054611,2.86,1852.1193210067
4042.2027209285,1230.0870210997,2.85,1849.9262252731
4023.7144443085,1223.8339338324,2.84,1847.7283021623
4005.2481711879,1217.5890603996,2.83,1845.5255235292
3986.8039502329,1211.3524176255,2.82,1843.3178609427
3968.3818304537,1205.1240224532,2.81,1841.105285732
3949.9818611037,1198.9038919121,2.8,1838.8877689342
3931.6040917512,1192.6920431415,2.79,1836.6652813235
3913.2485722661,1186.4884933857,2.78,1834.4377933999
3894.9153527692,1180.2932599783,2.77,1832.2052753601
3876.6044837447,1174.1063603784,2.76,1829.967697146
3858.3160159228,1167.9278121327,2.75,1827.7250283839
3840.0500003689,1161.7576329047,2.74,1825.477238421
3821.8064884457,1155.5958404622,2.73,1823.2242963033
3803.5855318417,1149.4424526867,2.72,1820.9661707825
3785.387182539,1143.2974875632,2.71,1818.702830296
3767.211492854,1137.1609631934,2.7,1816.4342429805
3749.0585153957,1131.0328977822,2.69,1814.1603766461
3730.9283031475,1124.9133096646,2.68,1811.8811988105
3712.8209093659,1118.8022172723,2.67,1809.5966766435
3694.7363876682,1112.6996391631,2.66,1807.3067770042
3676.6747919942,1106.6055940079,2.65,1805.0114664159
3658.6361766194,1100.5201005954,2.64,1802.7107110662
3640.6205961698,1094.443177837,2.63,1800.4044768086
3622.6281055948,1088.3748447579,2.62,1798.0927291423
3604.6587602137,1082.3151205125,2.61,1795.7754332284
3586.7126156812,1076.2640243733,2.6,1793.4525538671
3568.789728001,1070.2215757352,2.59,1791.1240554966
3550.8901535589,1064.1877941267,2.58,1788.7899022037
3533.0139490724,1058.1626991933,2.57,1786.4500576909
3515.1611716351,1052.1463107122,2.56,1784.1044852919
3497.3318787262,1046.1386485957,2.55,1781.7531479694
3479.526128166,1040.1397328764,2.54,1779.3960082844
3461.7439781704,1034.1495837252,2.53,1777.0330284172
3443.9854873344,1028.1682214464,2.52,1774.6641701511
3426.2507146342,1022.1956664781,2.51,1772.2893948655
3408.5397194423,1016.2319393972,2.5,1769.9086635358
3390.8525615045,1010.2770609125,2.49,1767.5219367137
3373.189300977,1004.3310518763,2.48,1765.1291745376
3355.549998417,998.3939332819,2.47,1762.7303367202
3337.9347147833,992.4657262637,2.46,1760.3253825394
3320.3435114409,986.546452099,2.45,1757.9142708326
3302.7764501843,980.6361322155,2.44,1755.4969599999
3285.2335932096,974.7347881824,2.43,1753.0734079803
3267.7150031341,968.8424417174,2.42,1750.6435722527
3250.220743014,962.9591146916,2.41,1748.2074098363
3232.7508763365,957.084829128,2.4,1745.7648772769
3215.3054670091,951.2196071978,2.39,1743.3159306305
3197.8845794176,945.3634712392,2.38,1740.8605254861
3180.4882783516,939.5164437339,2.37,1738.3986169137
3163.1166290765,933.6785473299,2.36,1735.9301594942
3145.7696973159,927.8498048366,2.35,1733.455107299
3128.4475492441,922.0302392223,2.34,1730.9734138745
3111.1502515071,916.2198736208,2.33,1728.4850322437
3093.8778712251,910.418731333,2.32,1725.9899148958
3076.6304759956,904.6268358278,2.31,1723.4880137764
3059.4081339062,898.8442107463,2.3,1720.9792802837
3042.2109135223,893.0708798981,2.29,1718.4636652491
3025.0388838866,887.3068672614,2.28,1715.9411189246
3007.8921145936,881.5521970071,2.27,1713.4115910135
2990.7706756975,875.8068934693,2.26,1710.8750306048
2973.6746377877,870.0709811702,2.25,1708.3313862035
2956.6040719547,864.3444848086,2.24,1705.7806056979
2939.559049827,858.6274292726,2.23,1703.2226363676
2922.5396435552,852.9198396346,2.22,1700.6574248603
2905.5459258403,847.2217411604,2.21,1698.0849171949
2888.5779699156,841.5331593037,2.2,1695.505058736
2871.6358495573,835.8541197097,2.19,1692.9177941858
2854.719639113,830.1846482247,2.18,1690.3230675861
2837.8294134713,824.5247708864,2.17,1687.7208222847
2820.9652481278,818.8745139452,2.16,1685.1110009598
2804.1272191165,813.2339038428,2.15,1682.4935455624
2787.3154030714,807.6029672318,2.14,1679.8683973379
2770.5298772183,801.9817309736,2.13,1677.2354968037
2753.7707193923,796.3702221443,2.12,1674.5947837436
2737.0380080097,790.7684680257,2.11,1671.9461971732
2720.3318221191,785.1764961222,2.1,1669.289675353
2703.6522413865,779.5943341563,2.09,1666.6251557621
2686.9993461019,774.0220100707,2.08,1663.952575083
2670.3732172023,768.4595520365,2.07,1661.2718691975
2653.7739362511,762.9069884464,2.06,1658.5829731541
2637.20158549,757.3643479317,2.05,1655.8858211813
2620.6562478058,751.8316593524,2.04,1653.1803466462
2604.1380067709,746.3089518099,2.03,1650.4664820595
2587.6469466034,740.7962546349,2.02,1647.7441590288
2571.1831522517,735.2935974149,2.01,1645.0133082918
2554.7467093444,729.8010099781,2,1642.2738596612
2538.3377042114,724.3185224008,1.99,1639.5257420162
2521.9562238934,718.8461650109,1.98,1636.768883285
2505.6023561782,713.3839683995,1.97,1634.0032104455
2489.276189571,707.9319634121,1.96,1631.2286494812
2472.9778133258,702.4901811587,1.95,1628.4451253766
2456.707317463,697.0586530202,1.94,1625.6525621048
2440.4647927381,691.6374106384,1.93,1622.8508825785
2424.2503307234,686.226485943,1.92,1620.0400086804
2408.0640237575,680.8259111352,1.91,1617.2198612003
2391.9059649641,675.4357186945,1.9,1614.3903598203
2375.7762482903,670.0559413917,1.89,1611.5514231122
2359.6749685078,664.6866122891,1.88,1608.702968509
2343.6022212126,659.3277647412,1.87,1605.8449122747
2327.5581028445,653.9794324012,1.86,1602.9771694869
2311.5427106932,648.6416492236,1.85,1600.0996540091
2295.5561429317,643.3144494754,1.84,1597.2122784821
2279.5984985892,637.9978677275,1.83,1594.3149542714
2263.6698776202,632.6919388778,1.82,1591.4075914824
2247.7703808396,627.3966981305,1.81,1588.4900988785
2231.9001100172,622.1121810273,1.8,1585.5623839137
2216.0591678672,616.8384234443,1.79,1582.6243526879
2200.2476579936,611.5754615747,1.78,1579.6759098698
2184.4656850201,606.3233319717,1.77,1576.7169587525
2168.7133545001,601.0820715198,1.76,1573.7474011476
2152.9907730212,595.8517174686,1.75,1570.7671374228
2137.2980481272,590.6323074089,1.74,1567.7760664001
2121.6352884046,585.4238793007,1.73,1564.7740853788
2106.0026034824,580.2264714738,1.72,1561.7610900908
2090.4001040225,575.0401226252,1.71,1558.7369746478
2074.8279017739,569.8648718374,1.7,1555.7016315361
2059.2861095446,564.7007585699,1.69,1552.6549515471
2043.7748412688,559.5478226812,1.68,1549.5968237798
2028.2942119747,554.4061044195,1.67,1546.5271355654
2012.8443378502,549.275644444,1.66,1543.4457724664
1997.425336216,544.1564838176,1.65,1540.3526182021
1982.037325572,539.0486640219,1.64,1537.2475546304
1966.6804256088,533.9522269618,1.63,1534.1304616998
1951.3547572442,528.8672149784,1.62,1531.0012174214
1936.0604425885,523.7936708379,1.61,1527.8596977804
1920.7976050361,518.7316377622,1.6,1524.705776749
1905.5663692388,513.6811594214,1.59,1521.5393262013
1890.3668611281,508.642279941,1.58,1518.3602158665
1875.1992079858,503.6150439262,1.57,1515.1683133197
1860.0635383915,498.5994964455,1.56,1511.9634838698
1844.9599822945,493.5956830547,1.55,1508.7455905479
1829.888671036,488.6036498051,1.54,1505.5144940526
1814.8497373545,483.623443246,1.53,1502.27005268
1799.8433154046,478.6551104318,1.52,1499.0121222608
1784.8695408305,473.6986989464,1.51,1495.7405561437
1769.9285507101,468.7542568866,1.5,1492.4552050645
1755.0204836632,463.8218328975,1.49,1489.1559171548
1740.1454798278,458.9014761661,1.48,1485.8425378337
1725.3036809005,453.9932364356,1.47,1482.5149097524
1710.4952301666,449.0971640158,1.46,1479.1728727276
1695.72027253,444.2133097939,1.45,1475.8162636717
1680.9789545388,439.3417252443,1.44,1472.444916516
1666.2714244193,434.4824624401,1.43,1469.0586621394
1651.5978321028,429.6355740637,1.42,1465.6573282862
1636.9583292528,424.801113416,1.41,1462.2407394814
1622.3530693121,419.9791344334,1.4,1458.8087169611
1607.7822075262,415.1696916965,1.39,1455.3610785775
1593.2459009873,410.3728404458,1.38,1451.8976387196
1578.7443086403,405.5886365845,1.37,1448.4182081933
1564.2775913585,400.8171367049,1.36,1444.9225941643
1549.8459119606,396.0583980953,1.35,1441.4106000414
1535.4494352375,391.3124787495,1.34,1437.8820253634
1521.0883280261,386.579437393,1.33,1434.3366657287
1506.7627592037,381.8593334824,1.32,1430.774312641
1492.4728997694,377.1522272331,1.31,1427.194753437
1478.2189228671,372.4581796287,1.3,1423.5977711506
1464.0010038289,367.7772524367,1.29,1419.983144392
1449.8193202236,363.1095082258,1.28,1416.3506472261
1435.6740519137,358.4550103863,1.27,1412.7000490551
1421.565381071,353.8138231369,1.26,1409.0311144507
1407.4934922621,349.1860115543,1.25,1405.3436030531
1393.4585724801,344.5716415855,1.24,1401.6372694077
1379.4608111945,339.9707800658,1.23,1397.9118628133
1365.5004004119,335.3834947408,1.22,1394.1671271743
