# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
6.749e15, 5.344e36, 1.997e39, 0.0057135723
6.685e15, 5.274e36, 1.987e39, 0.0056781483
6.622e15, 5.205e36, 1.977e39, 0.0056433264
6.56e15, 5.136e36, 1.967e39, 0.0056086073
6.498e15, 5.068e36, 1.957e39, 0.0055740445
6.436e15, 5e36, 1.947e39, 0.0055391265
6.374e15, 4.933e36, 1.937e39, 0.0055043644
6.313e15, 4.866e36, 1.927e39, 0.0054697078
6.253e15, 4.8e36, 1.917e39, 0.0054356802
6.192e15, 4.734e36, 1.907e39, 0.0054008244
6.132e15, 4.669e36, 1.897e39, 0.005366602
6.073e15, 4.605e36, 1.887e39, 0.0053330232
6.014e15, 4.541e36, 1.877e39, 0.0052990866
5.955e15, 4.477e36, 1.867e39, 0.0052647865
5.896e15, 4.414e36, 1.857e39, 0.0052306554
5.838e15, 4.351e36, 1.847e39, 0.0051966414
5.781e15, 4.29e36, 1.837e39, 0.0051638351
5.724e15, 4.228e36, 1.827e39, 0.0051301223
5.667e15, 4.167e36, 1.817e39, 0.0050965888
5.61e15, 4.107e36, 1.807e39, 0.0050632375
5.554e15, 4.047e36, 1.797e39, 0.0050300153
5.498e15, 3.987e36, 1.787e39, 0.0049964212
5.443e15, 3.928e36, 1.777e39, 0.0049635175
5.388e15, 3.87e36, 1.767e39, 0.0049308073
5.333e15, 3.812e36, 1.757e39, 0.0048977248
5.279e15, 3.755e36, 1.747e39, 0.0048653505
5.225e15, 3.698e36, 1.737e39, 0.0048326034
5.171e15, 3.642e36, 1.727e39, 0.0048000561
5.118e15, 3.586e36, 1.717e39, 0.0047676531
5.065e15, 3.53e36, 1.707e39, 0.0047348705
5.013e15, 3.475e36, 1.697e39, 0.0047028205
4.961e15, 3.421e36, 1.687e39, 0.0046709833
4.909e15, 3.367e36, 1.677e39, 0.0046387663
4.857e15, 3.314e36, 1.667e39, 0.0046067628
4.806e15, 3.261e36, 1.657e39, 0.0045749153
4.756e15, 3.209e36, 1.647e39, 0.0045438341
4.705e15, 3.157e36, 1.637e39, 0.004511824
4.655e15, 3.105e36, 1.627e39, 0.0044799729
4.605e15, 3.054e36, 1.617e39, 0.0044483462
4.556e15, 3.004e36, 1.607e39, 0.0044175075
4.507e15, 2.954e36, 1.597e39, 0.0043862827
4.458e15, 2.905e36, 1.587e39, 0.0043552944
4.41e15, 2.856e36, 1.577e39, 0.004324483
4.362e15, 2.807e36, 1.567e39, 0.0042932785
4.315e15, 2.759e36, 1.557e39, 0.0042628926
4.282e15, 2.726e36, 1.55e39, 0.0042417183
4.05e15, 2.495e36, 1.5e39, 0.0040900944
3.826e15, 2.275e36, 1.45e39, 0.0039405588
3.611e15, 2.068e36, 1.4e39, 0.0037954059
3.404e15, 1.872e36, 1.35e39, 0.0036529752
3.205e15, 1.688e36, 1.3e39, 0.0035143502
3.013e15, 1.514e36, 1.25e39, 0.0033776685
2.829e15, 1.352e36, 1.2e39, 0.0032455886
2.652e15, 1.201e36, 1.15e39, 0.0031170597
2.482e15, 1.061e36, 1.1e39, 0.002992566
2.319e15, 9.31e35, 1.05e39, 0.0028717316
2.162e15, 8.114e35, 1e39, 0.0027546065
2.012e15, 7.018e35, 9.5e38, 0.0026423015
1.868e15, 6.018e35, 9e38, 0.0025341768
1.73e15, 5.113e35, 8.5e38, 0.0024308526
1.598e15, 4.298e35, 8e38, 0.0023326038
1.471e15, 3.57e35, 7.5e38, 0.0022388472
1.349e15, 2.925e35, 7e38, 0.0021499739
1.231e15, 2.36e35, 6.5e38, 0.0020652666
1.119e15, 1.869e35, 6e38, 0.0019877627
1.01e15, 1.449e35, 5.5e38, 0.0019139789
905600000000000, 1.095e35, 5e38, 0.0018469073
804600000000000, 8.016e34, 4.5e38, 0.0017851884
706800000000000, 5.645e34, 4e38, 0.0017293053
612000000000000, 3.783e34, 3.5e38, 0.0016797024
519800000000000, 2.376e34, 3e38, 0.0016365215
429800000000000, 1.367e34, 2.5e38, 0.0015998976
341700000000000, 6.959e33, 2e38, 0.0015703955
255000000000000, 2.983e33, 1.5e38, 0.0015478473
169400000000000, 9.915e32, 1e38, 0.0015324829
128400000000000, 5.371e32, 7.596e37, 0.0015263701
123700000000000, 5.046e32, 7.317e37, 0.0015263935
105100000000000, 3.847e32, 6.22e37, 0.0015248975
72020000000000, 2.162e32, 4.268e37, 0.0015217386
49680000000000, 1.295e32, 2.948e37, 0.0015190605
37170000000000, 8.812e31, 2.207e37, 0.0015177404
26920000000000, 5.761e31, 1.6e37, 0.0015158323
18820000000000, 3.584e31, 1.12e37, 0.0015135057
12590000000000, 2.089e31, 7.496e36, 0.0015123782
7906000000000, 1.115e31, 4.71e36, 0.0015110543
6051000000000, 7.798e30, 3.606e36, 0.0015103825
4483000000000, 5.268e30, 2.673e36, 0.0015093865
3177000000000, 3.427e30, 1.895e36, 0.0015086627
2114000000000, 2.155e30, 1.262e36, 0.0015073051
1283000000000, 1.337e30, 7.661e35, 0.0015069807
1015000000000, 1.113e30, 6.059e35, 0.0015075019
894300000000, 1.019e30, 5.341e35, 0.0015068643
783400000000, 9.367e29, 4.68e35, 0.0015065319
682200000000, 8.644e29, 4.076e35, 0.0015064427
591200000000, 8.015e29, 3.533e35, 0.0015062901
510800000000, 7.468e29, 3.053e35, 0.0015062366
442000000000, 6.995e29, 2.643e35, 0.0015057483
418000000000, 6.823e29, 2.5e35, 0.0015055235
401600000000, 6.7e29, 2.401e35, 0.0015061568
386500000000, 6.581e29, 2.311e35, 0.001506034
373000000000, 6.468e29, 2.231e35, 0.0015056
361200000000, 6.357e29, 2.16e35, 0.0015059371
349500000000, 6.215e29, 2.091e35, 0.0015052714
348100000000, 6.208e29, 2.082e35, 0.0015057311
347600000000, 6.197e29, 2.079e35, 0.001505737
343400000000, 6.109e29, 2.054e35, 0.0015056424
330500000000, 5.843e29, 1.977e35, 0.0015055024
318000000000, 5.584e29, 1.902e35, 0.0015056621
305800000000, 5.334e29, 1.83e35, 0.0015048446
294000000000, 5.093e29, 1.759e35, 0.0015051542
282500000000, 4.859e29, 1.69e35, 0.0015053078
271400000000, 4.635e29, 1.624e35, 0.0015049134
220700000000, 3.625e29, 1.321e35, 0.0015043736
177400000000, 2.79e29, 1.062e35, 0.0015040131
140800000000, 2.109e29, 8.433e34, 0.0015031661
110000000000, 1.561e29, 6.592e34, 0.0015021867
84440000000, 1.127e29, 5.063e34, 0.0015012326
63470000000, 7.913e28, 3.807e34, 0.0015005514
46520000000, 5.367e28, 2.791e34, 0.001500031
41740000000, 4.628e28, 2.507e34, 0.0014982931
33150000000, 3.404e28, 1.991e34, 0.0014982056
25330000000, 2.503e28, 1.522e34, 0.0014974799
20910000000, 1.938e28, 1.257e34, 0.0014966823
16610000000, 1.425e28, 9.982e33, 0.0014970271
13190000000, 1.048e28, 7.93e33, 0.0014962998
10110000000, 7.702e27, 6.081e33, 0.0014955721
8031000000, 5.662e27, 4.83e33, 0.0014956373
6606000000, 4.362e27, 3.974e33, 0.001495178
4166000000, 2.356e27, 2.507e33, 0.0014945187
2545000000, 1.272e27, 1.532e33, 0.0014939419
1606000000, 6.86e26, 9.667e32, 0.0014939065
1046000000, 4.129e26, 6.296e32, 0.0014938979
830300000, 3.029e26, 5.001e32, 0.0014928552
523900000, 1.629e26, 3.156e32, 0.0014925362
330500000, 8.738e25, 1.991e32, 0.0014924205
262500000, 6.676e25, 1.581e32, 0.0014927379
131500000, 2.604e25, 7.926e31, 0.0014915253
65920000, 1.006e25, 3.973e31, 0.0014915425
33020000, 3.833e24, 1.99e31, 0.001491569
16550000, 1.435e24, 1e31, 0.0014876582
8293000, 5.259e23, 5e30, 0.0014908555
6588000, 3.911e23, 4e30, 0.001480422
2622000, 9.755e22, 1.581e30, 0.0014906719
1044000, 2.318e22, 6.294e29, 0.0014908974
415600, 5.266e21, 2.506e29, 0.0014906094
165400, 1.151e21, 9.976e28, 0.0014902039
65870, 2.431e20, 3.972e28, 0.0014905394
26220, 4.968e19, 1.581e28, 0.0014906133
10440, 9.744e18, 6.295e27, 0.0014906252
1150, 1.9e17, 6.93e26, 0.0014915161
212, 5.82e15, 1.27e26, 0.0015003598
45.1, 170000000000000, 2.72e25, 0.0014902904
