central+AF8-energy,1396.12,,
,,,
+ACM-energy density, pressure,energy+AF8-density+AF8-dimensionless,pressure+AF8-dimensionless
2278.01,1559.19,1.6316720626,1.1168022806
2031.36,1292.44,1.4550038679,0.9257370427
1802.7,1054.75,1.291221385,0.7554866344
1591.26,845.25,1.1397730854,0.6054279002
1396.12,663.062,1,0.4749319543
1216.35,507.119,0.8712359969,0.3632345357
1131.92,438.6,0.8107612526,0.3141563762
1050.92,376.144,0.7527433172,0.2694209667
973.238,319.556,0.6971019683,0.2288886342
898.706,268.631,0.6437168725,0.1924125433
827.212,223.138,0.5925078074,0.1598272355
758.587,182.844,0.5433537232,0.1309658196
718.706,161.056,0.5147881271,0.1153597112
679.781,140.994,0.4869072859,0.1009898863
641.7,122.6,0.4596309773,0.087814801
604.575,105.812,0.4330394235,0.0757900467
568.237,90.5688,0.4070115749,0.0648717875
532.659,76.8062,0.3815280921,0.0550140389
497.863,64.4688,0.3566047331,0.0461771194
463.781,53.4756,0.3321927915,0.0383030112
430.369,43.7706,0.3082607512,0.031351603
397.598,35.2819,0.2847878406,0.025271395
365.417,27.9387,0.2617375297,0.0200116752
333.788,21.6687,0.2390826003,0.0155206573
302.67,16.3969,0.2167936854,0.0117446208
272.014,12.0481,0.1948356875,0.0086297023
241.779,8.5425,0.1731792396,0.0061187434
211.922,5.79787,0.1517935421,0.004152845
182.385,3.72919,0.1306370513,0.0026711099
153.129,2.24544,0.1096818325,0.0016083431
124.104,1.24819,0.0888920723,0.0008940421
114.469,1.00394,0.0819908031,0.0007190929
104.856,0.793813,0.0751052918,0.0005685851
95.2594,0.619663,0.0682315274,0.0004438465
85.68,0.477769,0.0613700828,0.000342212
80.8931,0.417675,0.0579413661,0.0002991684
76.1119,0.364125,0.0545167321,0.0002608121
73.3387,0.335869,0.0525303699,0.0002405732
72.2531,0.335868,0.0517527863,0.0002405724
71.55,0.33035,0.0512491763,0.0002366201
69.5925,0.315387,0.0498470762,0.0002259025
66.7069,0.293737,0.0477802051,0.0002103952
63.8494,0.273006,0.0457334613,0.0001955462
61.0031,0.253181,0.0436947397,0.0001813462
57.2231,0.228156,0.0409872361,0.0001634215
53.4499,0.204725,0.038284603,0.0001466385
49.6969,0.182881,0.0355964387,0.0001309923
45.9776,0.162612,0.0329324127,0.0001164742
42.3135,0.1439,0.0303079248,0.0001030714
37.8472,0.122663,0.0271088445,8.78599260808526E+AC0-005
34.3986,0.107344,0.024638713,7.68873735782025E+AC0-005
30.2867,0.0901875,0.0216934791,6.45986734664642E+AC0-005
26.4381,0.0751437,0.0189368392,5.38232386900839E+AC0-005
22.887,0.0620537,0.01639329,4.44472538177234E+AC0-005
20.2742,0.0528831,0.0145218176,3.78786207489328E+AC0-005
15.6622,0.0376462,0.0112183766,2.6964874079592E+AC0-005
11.8361,0.0259837,0.0084778529,1.86113657851761E+AC0-005
9.43537,0.0192,0.0067582801,1.37523995072057E+AC0-005
7.08356,0.0130587,0.0050737472,9.35356559608057E+AC0-006
5.40832,0.00907063,0.0038738217,0.000006497
4.22471,0.00650313,0.0030260364,0.000004658
3.21486,0.004519,0.0023027104,3.236827779847E+AC0-006
2.52152,0.00329244,0.0018060912,2.35827865799502E+AC0-006
1.92251,0.00234131,0.0013770378,0.000001677
1.5318,0.00178531,0.0010971836,1.27876543563591E+AC0-006
1.18918,0.00134669,0.0008517749,9.64594733977022E+AC0-007
0.986794,0.001112,0.0007068117,7.96493138125663E+AC0-007
0.721744,0.000835625,0.0005169642,5.98533793656706E+AC0-007
0.570713,0.0006955,0.0004087851,4.98166346732373E+AC0-007
0.503021,0.000636938,0.0003602993,4.5622009569378E+AC0-007
0.440657,0.000585419,0.0003156297,4.19318539953586E+AC0-007
0.38376,0.000540269,0.0002748761,0.000000387
0.332544,0.000500931,0.0002381916,3.58802251955419E+AC0-007
0.287325,0.000466781,0.0002058025,3.34341603873593E+AC0-007
0.248619,0.000437156,0.0001780785,3.13122081196459E+AC0-007
0.217406,0.000411331,0.0001557216,2.94624387588459E+AC0-007
0.207467,0.0004019,0.0001486026,2.87869237601352E+AC0-007
0.196599,0.000388438,0.0001408181,2.7822679998854E+AC0-007
0.0541744,0.000090625,3.88035412428731E+AC0-005,6.49120419448185E+AC0-008
0.0468956,0.00006875,3.35899492880268E+AC0-005,4.92436180271037E+AC0-008
0.0372319,5.05562E+AC0-005,2.66681230839756E+AC0-005,3.62119302065725E+AC0-008
0.0283444,3.71812E+AC0-005,2.03022662808355E+AC0-005,2.66318081540269E+AC0-008
0.0234787,0.000028925,1.68171074119703E+AC0-005,2.07181331117669E+AC0-008
0.0186469,0.000021275,1.33562301234851E+AC0-005,1.52386614331146E+AC0-008
0.0142481,1.56437E+AC0-005,1.02054980947197E+AC0-005,1.12051256338997E+AC0-008
0.0117619,1.21125E+AC0-005,8.42470561269805E+AC0-006,8.67583015786609E+AC0-009
0.00934312,8.90625E+AC0-006,6.69220410852935E+AC0-006,6.37928688078389E+AC0-009
0.00741937,0.00000655,5.31427814228003E+AC0-006,4.69157379021861E+AC0-009
0.00568687,4.81375E+AC0-006,4.07333896799702E+AC0-006,3.44794860040684E+AC0-009
0.00451744,3.53875E+AC0-006,3.23571039738704E+AC0-006,2.53470332063146E+AC0-009
0.00371587,2.72625E+AC0-006,2.66156920608544E+AC0-006,0.000000002
0.00234337,1.4725E+AC0-006,1.67848752256253E+AC0-006,1.0547087642896E+AC0-009
0.00143156,0.000000795,1.02538463742372E+AC0-006,5.69435292095235E+AC0-010
0.000903375,4.2875E+AC0-007,6.47061140876143E+AC0-007,3.0710110878721E+AC0-010
0.00068175,3.1475E+AC0-007,4.88317623126952E+AC0-007,2.25446236713177E+AC0-010
0.000588375,2.58062E+AC0-007,4.21435836461049E+AC0-007,1.84842277168152E+AC0-010
0.000467044,1.89313E+AC0-007,3.34529983096009E+AC0-007,1.35599375411856E+AC0-010
0.000294694,1.01812E+AC0-007,2.11080709394608E+AC0-007,7.29249634701888E+AC0-011
0.000185906,5.46125E+AC0-008,1.33159040770134E+AC0-007,3.9117339483712E+AC0-011
0.000147656,4.1725E+AC0-008,1.05761682376873E+AC0-007,2.9886399449904E+AC0-011
7.39687E+AC0-005,1.6275E+AC0-008,0.000000053,1.16573073947798E+AC0-011
0.00003708,6.2875E+AC0-009,2.6559321548291E+AC0-008,4.50355270320603E+AC0-012
1.85794E+AC0-005,2.395621E+AC0-009,1.33078818439676E+AC0-008,1.71591338853394E+AC0-012
1.85737E+AC0-005,2.39562E+AC0-009,1.33037991003639E+AC0-008,1.71591267226313E+AC0-012
9.30938E+AC0-006,8.96875E+AC0-010,6.66803713147867E+AC0-009,6.42405380626307E+AC0-013
4.66481E+AC0-006,3.28688E+AC0-010,3.34126722631292E+AC0-009,2.35429619230439E+AC0-013
3.70575E+AC0-006,2.44437E+AC0-010,2.65432054551185E+AC0-009,1.75083087413689E+AC0-013
1.47488E+AC0-006,6.09687E+AC0-011,1.05641348881185E+AC0-009,4.36700999914048E+AC0-014
5.8725E+AC0-007,1.44875E+AC0-011,4.20630031802424E+AC0-010,1.03769733260751E+AC0-014
2.33775E+AC0-007,3.29125E+AC0-012,1.67446208062344E+AC0-010,2.35742629573389E+AC0-015
0.000000093,7.19375E+AC0-013,6.66400452683151E+AC0-011,5.15267312265421E+AC0-016
3.70519E+AC0-008,1.51938E+AC0-013,2.65391943385955E+AC0-011,1.08828753975303E+AC0-016
1.47488E+AC0-008,3.105E+AC0-014,1.05641348881185E+AC0-011,2.22402085780592E+AC0-017
5.8725E+AC0-009,6.09E+AC0-015,4.20630031802424E+AC0-012,4.3620892186918E+AC0-018
6.46875E+AC0-010,1.1875E+AC0-016,4.63337678709567E+AC0-013,8.50571584104518E+AC0-020
1.1925E+AC0-010,3.6375E+AC0-018,8.54152938142853E+AC0-014,2.60543506288858E+AC0-021
0,0,0,0
